,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
000000000000000000000000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043909533007125905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060456578994208796,0.0
3000000000000000000000000000000,-5.68278937827611,-14.639346113673465,-4.155367429171716,-7.587357690604315,-18.380793814799045,-10.905103102768692,-8.745667626915644,-26.88196497055061,-19.88458349858852,-22.52680798260329,-13.755119722339401,-7.207657581953804,-3.401720241789639,-7.122057451239873,-15.296280546794222,-12.16433794766342,-14.614289677846271,-3.3348610340290623,-5.290785672876654,-11.746897477368483,-14.906176937484272,-20.32404224088767,-25.451111440512413,-16.39641002136102,-3.286776749720755,-3.32667886989417,-3.257585836368148,-8.529070019342745,-20.470410520221154,-19.17829978688151
2000000000000000000000000000000,-6.255324845999992,-14.818230383009679,-2.819898776635089,-12.485787249002623,-9.071059986412976,-3.0271868684133167,-19.45465598013321,-23.370893672452006,-2.8735066191572467,-5.375750098575831,-3.8169294851521496,-15.94412233846651,-18.97237108405736,-7.115854921259725,-13.043018734372405,-2.9163956854323327,-18.320449658405654,-5.884683842983804,-4.72683717266479,-2.873973097612681,-2.920594661855081,-10.357805030453973,-2.898920354808362,-2.87443420311293,-9.705992805416239,-5.018230955768078,-7.1449093479927495,-12.821391096926673,-6.807053814286158,-10.970730333723134
0000000000000000000000000000000,-2.930162991880244,-2.9792828550791235,-7.07216791913014,-2.9627036463142855,-9.578437556282053,-16.610421036347308,-28.596286501076023,-9.146218520448105,-3.0923814108313,-3.0591660186197003,-3.031006098941396,-2.9422702177021267,-22.5829683920282,-19.377042196254877,-10.682010277673262,-2.988037998939931,-13.604459492660602,-17.1685195054054,-6.66331131370613,-11.160799904925309,-14.757649577001075,-5.532544221953069,-20.786713212257744,-3.849759850616305,-6.450562081703923,-14.530955409423397,-7.142278349965674,-8.962024274138491,-22.429468609650733,-8.755557197868226
1000000000000000000000000000000,-12.256886280617088,-26.962441055010878,-5.804163036540846,-8.794039594127142,-9.094032050575086,-3.431932876749815,-3.376826992449674,-3.505157793788365,-3.7274313719852175,-3.96156607884901,-15.04667014550443,-8.055357441817275,-16.94497661492747,-3.5044881115200024,-3.411127133610811,-7.437700700310221,-9.363804588770716,-7.301475223910979,-3.415087046709918,-15.440490324601829,-20.454497062369565,-11.446945472677786,-7.823999380177065,-5.915290295099609,-7.849429609906477,-24.475604232169133,-7.611571650373067,-15.938927911471463,-3.3794745709023926,-11.06574701821733
0000000000100000000000000000000,0.0,0.0,0.0,0.03224584662708021,0.0,0.0,0.0,0.0,0.0,-14.94,0.022379424484187872,-0.1084403680506955,0.0,0.0,0.012509841022539948,0.01281890713888524,0.00018,0.0,0.0,0.0,0.031770088865623644,0.0,0.030494339509658387,0.0,0.48717221345090067,0.003949297255645538,0.03,0.0,0.0,0.020724294785806698
3000000000100000000000000000000,0.0,0.0,0.0,0.0,0.010907725126349316,0.0,0.0,0.020270000000000003,0.0,-14.469724532741232,0.0,0.0,0.0,0.022967532607112037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024589203950939248,0.47721568081476057,0.0,0.0,0.0,0.010946662648532881,0.0
2000000000100000000000000000000,0.0,0.0,0.0,0.0,0.0,0.03178796855113499,0.0,0.0,0.0,0.0,0.022116002837422395,0.0,0.0,0.0,0.020270523800000002,0.03283605463788942,0.0,0.0,0.032252013244548815,0.0,0.0,0.0,0.0,0.0,0.5048124346033174,0.0,0.0,0.0,0.03347983795917833,0.0033872716192212857
1000000000100000000000000000000,0.0,0.02270733164661657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.559051240788666,0.0,0.010992058585624036,0.0,0.0,0.001067340575318394,0.0,0.0,0.002567902170861561,0.0019212714636126901,0.0,0.0,0.03283322802950604,0.0,0.0,0.1867677308886646,0.02348096421960725,0.0,0.0,0.0,0.0226416860977343
2000000000000000000000000100000,0.0,0.0,0.01,0.0,0.0301806273513,0.0,0.0,0.01,0.0,0.0,0.0,-0.09361697929598332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171952655698427,0.020811685595964018,0.0,0.0,-10.978562659727045,0.0,0.0,-22.010154953417928,0.0,0.0
